index,timecode,seconds,frame_file,visual_change,screen_type,motion_observation,likely_production_method,replicable_with,notes_for_doubao_video
1,00:00,0.500,frames_change/001_0000_500_开场问题图-封面图.jpg,标题钩子出现或切换,开场问题图/封面图,封面式标题和底部字幕快速进入,PR/AE/剪映标题包装 + 静态图,Remotion 标题卡 + HTML/SVG,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
2,00:13,13.233,frames_change/002_0013_233_开场问题图-封面图.jpg,标题钩子出现或切换,开场问题图/封面图,封面式标题和底部字幕快速进入,PR/AE/剪映标题包装 + 静态图,Remotion 标题卡 + HTML/SVG,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
3,00:17,17.667,frames_change/003_0017_667_新闻-网页资料页.jpg,切到证据网页或新闻页,新闻/网页资料页,白底资料页入场，重点靠字幕和引用标题承载,网页截图 + 高亮 + 字幕,Playwright/HTML 重绘 + Remotion,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
4,00:19,19.767,frames_change/004_0019_767_新闻-网页资料页.jpg,切到证据网页或新闻页,新闻/网页资料页,白底资料页入场，重点靠字幕和引用标题承载,网页截图 + 高亮 + 字幕,Playwright/HTML 重绘 + Remotion,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
5,00:29,29.700,frames_change/005_0029_700_新闻-网页资料页.jpg,切到证据网页或新闻页,新闻/网页资料页,白底资料页入场，重点靠字幕和引用标题承载,网页截图 + 高亮 + 字幕,Playwright/HTML 重绘 + Remotion,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
6,00:34,34.933,frames_change/006_0034_933_新闻-网页资料页.jpg,切到证据网页或新闻页,新闻/网页资料页,白底资料页入场，重点靠字幕和引用标题承载,网页截图 + 高亮 + 字幕,Playwright/HTML 重绘 + Remotion,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
7,00:46,46.100,frames_change/007_0046_100_公司 Logo 阵列.jpg,公司/玩家 Logo 矩阵出现或变化,公司 Logo 阵列,Logo 以卡片矩阵展示，变化频率中等,Logo 排版 + 简单入场,Remotion 网格组件,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
8,00:54,54.300,frames_change/008_0054_300_公司 Logo 阵列.jpg,公司/玩家 Logo 矩阵出现或变化,公司 Logo 阵列,Logo 以卡片矩阵展示，变化频率中等,Logo 排版 + 简单入场,Remotion 网格组件,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
9,00:57,57.667,frames_change/009_0057_667_公司 Logo 阵列.jpg,公司/玩家 Logo 矩阵出现或变化,公司 Logo 阵列,Logo 以卡片矩阵展示，变化频率中等,Logo 排版 + 简单入场,Remotion 网格组件,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
10,01:01,61.033,frames_change/010_0101_033_公司 Logo 阵列.jpg,公司/玩家 Logo 矩阵出现或变化,公司 Logo 阵列,Logo 以卡片矩阵展示，变化频率中等,Logo 排版 + 简单入场,Remotion 网格组件,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
11,01:03,63.700,frames_change/011_0103_700_公司 Logo 阵列.jpg,公司/玩家 Logo 矩阵出现或变化,公司 Logo 阵列,Logo 以卡片矩阵展示，变化频率中等,Logo 排版 + 简单入场,Remotion 网格组件,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
12,01:18,78.200,frames_change/012_0118_200_航天-工业 B-roll.jpg,切到实拍或素材镜头,航天/工业 B-roll,镜头缓慢运动，字幕承载解释,授权素材/B-roll 剪辑,素材库或 AI B-roll + Remotion 字幕,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
13,01:20,80.900,frames_change/013_0120_900_航天-工业 B-roll.jpg,切到实拍或素材镜头,航天/工业 B-roll,镜头缓慢运动，字幕承载解释,授权素材/B-roll 剪辑,素材库或 AI B-roll + Remotion 字幕,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
14,01:22,82.400,frames_change/014_0122_400_航天-工业 B-roll.jpg,切到实拍或素材镜头,航天/工业 B-roll,镜头缓慢运动，字幕承载解释,授权素材/B-roll 剪辑,素材库或 AI B-roll + Remotion 字幕,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
15,01:25,85.367,frames_change/015_0125_367_航天-工业 B-roll.jpg,切到实拍或素材镜头,航天/工业 B-roll,镜头缓慢运动，字幕承载解释,授权素材/B-roll 剪辑,素材库或 AI B-roll + Remotion 字幕,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
16,01:32,92.533,frames_change/016_0132_533_航天-工业 B-roll.jpg,切到实拍或素材镜头,航天/工业 B-roll,镜头缓慢运动，字幕承载解释,授权素材/B-roll 剪辑,素材库或 AI B-roll + Remotion 字幕,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
17,01:35,95.333,frames_change/017_0135_333_航天-工业 B-roll.jpg,切到实拍或素材镜头,航天/工业 B-roll,镜头缓慢运动，字幕承载解释,授权素材/B-roll 剪辑,素材库或 AI B-roll + Remotion 字幕,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
18,01:37,97.300,frames_change/018_0137_300_航天-工业 B-roll.jpg,切到实拍或素材镜头,航天/工业 B-roll,镜头缓慢运动，字幕承载解释,授权素材/B-roll 剪辑,素材库或 AI B-roll + Remotion 字幕,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
19,01:38,98.900,frames_change/019_0138_900_航天-工业 B-roll.jpg,切到实拍或素材镜头,航天/工业 B-roll,镜头缓慢运动，字幕承载解释,授权素材/B-roll 剪辑,素材库或 AI B-roll + Remotion 字幕,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
20,01:45,105.433,frames_change/020_0145_433_航天-工业 B-roll.jpg,切到实拍或素材镜头,航天/工业 B-roll,镜头缓慢运动，字幕承载解释,授权素材/B-roll 剪辑,素材库或 AI B-roll + Remotion 字幕,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
21,01:48,108.867,frames_change/021_0148_867_航天-工业 B-roll.jpg,切到实拍或素材镜头,航天/工业 B-roll,镜头缓慢运动，字幕承载解释,授权素材/B-roll 剪辑,素材库或 AI B-roll + Remotion 字幕,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
22,02:02,122.800,frames_change/022_0202_800_航天-工业 B-roll.jpg,切到实拍或素材镜头,航天/工业 B-roll,镜头缓慢运动，字幕承载解释,授权素材/B-roll 剪辑,素材库或 AI B-roll + Remotion 字幕,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
